param,indeks,analitik,numerik,rel_err
W1,"(0, 0)",-0.3034327200849738,-0.30343272014593525,1.004530066507852e-10
W1,"(0, 1)",0.1517163600424869,0.15171636005145706,2.956226324885021e-11
W1,"(1, 0)",0.1517163600424869,0.15171636005145706,2.956226324885021e-11
W1,"(1, 1)",-0.07585818002124345,-0.07585818001254463,5.7336067386196285e-11
W1,"(2, 0)",0.0,0.0,0.0
W1,"(2, 1)",-0.0,0.0,0.0
b1,"(0,)",-0.1517163600424869,-0.15171636005145706,2.956226324885021e-11
b1,"(1,)",0.07585818002124345,0.07585818001254463,5.7336067386196285e-11
b1,"(2,)",0.0,0.0,0.0
W2,"(0,)",-0.11378727003186517,-0.1137872700472664,6.76755051729176e-11
W2,"(1,)",-0.07585818002124345,-0.07585818001254463,5.7336067386196285e-11
W2,"(2,)",-0.0,0.0,0.0
b2,(),-0.07585818002124345,-0.07585818001254463,5.7336067386196285e-11
